review_id,text,label,source,language
4135a6e6-df79-40d0-bd8a-9538696ecd0c,ดูซีรีส์แนวคอมเมดี้เรื่องนี้แล้วติดเลย. ความเข้มข้นลงตัว / เพลงประกอบทำถึง / ทว่า พล็อตไม่สมเหตุสมผล. แนะนำให้ดูเลย.,Positive,synthetic_netflix_like_thai,th
abbcd7b6-c27e-4f23-8b96-1227a99c9f42,อนิเมะไซไฟเรื่องนี้ดีเกินคาด. ความเข้มข้นน่าประทับใจ / ความยาวดีเกินคาด / แต่ว่า บทพูดไม่สมเหตุสมผล. บางซีนคือเกินไป. แนะนำให้ดูเรย. งงมาก ✨,Positive,synthetic_netflix_like_thai,th
6c79eb90-8ded-4f3b-92d2-201362ee4ce9,ดูสารคดีแนวไซไฟเรื่องนี้แล้วติดเลย. พล็อตดีเกินคาด / เพลงประกอบดีมาก. คุ้มเวลามาก. ดีงาม,Positive,synthetic_netflix_like_thai,th
3b156a57-69b4-4321-b93d-9f1e06b759de,สนุกมากสำหรับสารคดีโรแมนติก. พล็อตดีมาก / จังหวะดีเกินคาด / แต่คือ การเดินเรื่องไม่โอเค. แนะนำให้ดูเลย. 👍,Positive,synthetic_netflix_like_thai,th
2205c173-160d-4ea0-b882-b630bd2274cf,หนังไซไฟเรื่องนี้ดีเกินคาด. นักแสดงลงตัว / ความยาวดีเกินคาด / แต่ว่า งานภาพน่าเบื่อ. บางซีนคือเกินไป. อยากให้มีซีซั่นต่อ. 😊,Positive,synthetic_netflix_like_thai,th
ab084e71-da12-4152-b2bc-92a90bbabc0b,สนุกมากสำหรับอนิเมะแอคชั่น. บทพูดดีเกินคาด / งานภาพทำถึง / แต่ว่า จังหวะไม่สมเหตุสมผล. สำหรับเรา อยากให้มีซีซั่นต่อ.555,Positive,synthetic_netflix_like_thai,th
eb15ca6b-6c60-4806-9569-7ac92ca99145,ดูหนังแนวสยองขวัญเรื่องนี้แล้วติดเลย. การเดินเรื่องน่าประทับใจ / งานภาพน่าประทับใจ / แต่ว่า ความเข้มข้นไม่โอเค. อยากให้มีซีซั่นต่อ. 😊สุดๆ,Positive,synthetic_netflix_like_thai,th
ec980352-4ae8-48a3-be83-e7e3d01834a4,ดูอนิเมะแนวโรแมนติกเรื่องนี้แล้วติดเลย. จังหวะทำถึง / นักแสดงทำถึง. ดูจบแล้วอิ่มเอม.,Positive,synthetic_netflix_like_thai,th
ab5439ab-fa1e-4e93-ae10-6b70c983d9cf,สนุกมากสำหรับหนังสืบสวน. ความเข้มข้นน่าประทับใจ / งานภาพดีเกินคาด. มีหลายฉากที่ชอบมาก. ดูจบแล้วอิ่มเอม. 👍,Positive,synthetic_netflix_like_thai,th
d22f9661-b741-4005-bb90-7f1e6caba1ed,สนุกมากสำหรับหนังสืบสวน. บทพูดทำถึง / ความยาวดีเกินคาด. บางซีนคือเกินไป. คุ้มเวลามาก.,Positive,synthetic_netflix_like_thai,th
1f70eae9-10ff-47bb-baab-e6923470e586,ดูซีรีส์แนวไซไฟเรื่องนี้แล้วติดเลย. บทพูดทำถึง / พล็อตดีมาก / แต่ว่า งานภาพไม่โอเค. คุ้มเวลามาก. 🔥,Positive,synthetic_netflix_like_thai,th
64f70c59-4c0d-4fa9-b941-14c17b18b4bf,ดูสารคดีแนวโรแมนติกเรื่องนี้แล้วติดเลย. การเดินเรื่องทำถึง / ตอนจบดีเกินคาด / แต่ก็ ตอนจบไม่โอเค. ถ้าใครชอบแนวนี้ คุ้มเวลามาก. 😋,Positive,synthetic_netflix_like_thai,th
7fc3e802-4a54-4b27-9e09-35cfa4cb25f2,ดูซีรีส์แนวโรแมนติกเรื่องนี้แล้วติดเลย. ตอนจบลงตัว / การเดินเรื่องทำถึง / แต่ว่า งานภาพไม่สมเหตุสมผล. ดูจบแล้วอิ่มเอม.,Positive,synthetic_netflix_like_thai,th
78cb91ad-addb-4ab8-a414-b61bd2e3b320,หนังสืบสวนเรื่องนี้ดีเกินคาด. นักแสดงดีม้าก / เพลงประกอบน่าประทับใจ. ช่วงกลางแอบย้วย. ดูจบแล้วอิ่มเอม.,Positive,synthetic_netflix_like_thai,th
e41ed64c-ab0c-4b4f-910a-9fbcda7d6115,สนุกมากสำหรับสารคดีสยองขวัญ. เพลงประกอบทำถึง / บทพูดดีมาก. ดูจบแล้วอิ่มเอม.,Positive,synthetic_netflix_like_thai,th
41db97e5-ac71-479c-bfc2-f5dc4a42a5d7,อนิเมะสืบสวนเรื่องนี้ดีเกินคาด. จังหวะดีมาก / งานภาพดีมาก. อยากให้มีซีซั่นต่อ. 😍,Positive,synthetic_netflix_like_thai,th
5c5d195d-a4a2-438c-9487-b7af90892864,สนุกมากสำหรับอนิเมะทริลเลอร์. จังหวะทำถึง / บทพูดลงตัว / แต่ว่า การเดินเรื่องไม่สมเหตุสมผล. สำหรับเรา อยากให้มีซีซั่นต่อ. 😋,Positive,synthetic_netflix_like_thai,th
bda2bba4-c01e-4e1b-bea8-ae7ee7079da7,สนุกมากสำหรับอนิเมะคอมเมดี้. การเดินเรื่องลงตัว / ความเข้มข้นดีเกินคาด / แต่คือ การเดินเรื่องไม่โอเค. ดูจบแล้วอิ่มเอม.,Positive,synthetic_netflix_like_thai,th
ae8a8587-d28a-414c-a676-27e81356eab3,ดูอนิเมะแนวไซไฟเรื่องนี้แล้วติดเลย. นักแสดงทำถึง / ความยาวดีเกินคาด / แต่คือ เพลงประกอบหลวมๆ. ตอนจบหักมุมดี. ดูจบแล้วอิ่มเอม. โคตร,Positive,synthetic_netflix_like_thai,th
62ba1e4d-8b1c-438b-80f4-1859c694ab07,อนิเมะโรแมนติกเรื่องนี้ดีเกินคาด. นักแสดงลงตัว / ตอนจบน่าประทับใจ. ตอนท้ายทำดี. ดูจบแล้วอิ่มเอม.,Positive,synthetic_netflix_like_thai,th
8dbbb340-e222-49d7-9aa2-9f3a1a41d7a4,ดูซีรีส์แนวทริลเลอร์เรื่องนี้แล้วติดเลย. เพลงประกอบลงตัว / งานภาพทำถึง / แต่ว่า ความยาวหลวมๆ. บางซีนคือเกินไป. โดยรวม แนะนำให้ดูเลย. 😊!!,Positive,synthetic_netflix_like_thai,th
5a0a5bd8-8787-43c8-8a2e-b5a849467b76,ดูสารคดีแนวไซไฟเรื่องนี้แล้วติดเลย. การเดินเรื่องลงตัว / จังหวะทำถึง. อยากให้มีซีซั่นต่อ. งงมาก ✨,Positive,synthetic_netflix_like_thai,th
b164bddc-d36d-4ee7-a87a-af4c16f45d51,สนุกมากสำหรับอนิเมะสืบสวน. เพลงประกอบดีเกินคาด / ตอนจบดีเกินคาด. ตอนท้ายทำดี. ส่วนตัวนะ ดูจบแล้วอิ่มเอม.,Positive,synthetic_netflix_like_thai,th
467ad45e-9c72-474e-a372-1256234f4a47,หนังแอคชั่นเรื่องนี้ดีเกินคาด. นักแสดงดีมาก / จังหวะลงตัว. แนะนำให้ดูเลย.,Positive,synthetic_netflix_like_thai,th
c4327350-df35-4211-8e7d-c5bccb9bcbc8,สนุกมากสำหรับหนังสยองขวัญ. ความเข้มข้นลงตัว / นักแสดงน่าประทับใจ / ทว่า การเดินเรื่องหลวมๆ. ตอนจบหักมุมดี. สำหรับเรา คุ้มเวลามาก.,Positive,synthetic_netflix_like_thai,th
ca4838df-52bb-4b70-afca-3a36403f4373,สนุกมากสำหรับอนิเมะไซไฟ. ตอนจบลงตัว / ความยาวทำถึง. คุ้มเวลามาก.,Positive,synthetic_netflix_like_thai,th
56ca2a1b-6251-4233-8986-ee0fdf0d25b7,อนิเมะดราม่าเรื่องนี้ดีเกินคาด. นักแสดงทำถึง / พล็อตดีมาก / แต่ว่า ความยาวหลวมๆ. ตอนท้ายทำดี. สำหรับเรา แนะนำให้ดูเลย.,Positive,synthetic_netflix_like_thai,th
8c29b8b9-7195-4e9b-9365-3f8a28ad41e9,ดูหนังแนวโรแมนติกเรื่องนี้แล้วติดเลย. การเดินเรื่องลงตัว / นักแสดงดีมาก. เอาจริงๆ คุ้มเวลามาก.,Positive,synthetic_netflix_like_thai,th
148fedc7-9b0d-4707-917b-b4fbd4a9e36b,สนุกมากสำหรับหนังแอคชั่น. จังหวะดีมาก / ตอนจบทำถึง. แนะนำให้ดูเลย. 🔥,Positive,synthetic_netflix_like_thai,th
b5351afc-b1ea-4d46-a351-3ea8f8cd447d,สารคดีคอมเมดี้เรื่องนี้ดีเกินคาด. บทพูดลงตัว / การเดินเรื่องดีมาก. อยากให้มีซีซั่นต่อ.!,Positive,synthetic_netflix_like_thai,th
53ed759b-a50f-49a1-9f53-e5c1a0794704,สนุกมากสำหรับอนิเมะโรแมนติก. ตอนจบลงตัว / งานภาพน่าประทับใจ. อยากให้มีซีซั่นต่อ. 😋,Positive,synthetic_netflix_like_thai,th
